品目	紙名	発行日	年	見出し	備考	スコア	辞書ヒット数	極性語数	判定	ノイズ	寄与語	分かち書き
コメ	朝日	2022-11-08	2022	（食と農のいま）営農本格再開、１２年ぶり「実りの秋」　原発被害の福島・大熊、コメの収穫始まる／宮城県	宮城全県・地域総合／写真図表有／見出しのみ表示／連載	0.3125	8	5	ポジティブ		食:+0.0(名詞) 本格:+1.0(名詞) 再開:+0.5(補助) 実り:+1.0(名詞) 秋:+0.0(名詞) 原発:+0.0(名詞) 被害:-1.0(名詞) 収穫:+1.0(名詞)	いま 営農 本格 再開 ぶり 実り 原発 被害 福島 大熊 コメ 収穫 始まる 宮城
コメ	朝日	2022-10-15	2022	県内のコメ作況、平年並みの「１００」　先月２５日時点　／福島県	福島全県・１地方	0.0	1	0	判定不能		作況:+0.0(名詞)	県内 コメ 作況 平年 並み 先月 時点 福島
コメ	朝日	2022-10-07	2022	（迫る探る＠福島）コメ原料のプラ素材「相双の課題解決に」　南相馬の会社が商品化／福島県	福島全県・１地方／写真図表有／連載	0.0	4	2	中立		素材:+0.0(名詞) 課題:-1.0(名詞) 解決:+1.0(名詞) 商品:+0.0(名詞)	迫る 探る 福島 コメ 原料 プラ 素材 課題 解決 相馬 会社 商品 福島
コメ	朝日	2022-09-10	2022	ＪＡコメ概算金、上昇　肥料や資材高騰、背景　２２年産　／福島県	福島全県・１地方／写真図表有	0.0	3	2	中立		金:+1.0(名詞) 肥料:+0.0(名詞) 高騰:-1.0(名詞)	ＪＡ コメ 概算 上昇 肥料 資材 高騰 背景 年産 福島
コメ	朝日	2022-07-22	2022	（東北人）加藤晃司さん、絵美さん　コメ農家でビール醸造家　／福島県	福島全県・地域総合／写真図表有／連載	0.0	1	0	判定不能		人:+0.0(名詞)	東北 加藤 晃司 さん 絵美 さん コメ 農家 ビール 醸造 福島
コメ	朝日	2022-04-25	2022	苦境の県産、１１年経ても　コメ低評価定着「一人負け」　／福島県	福島全県・１地方／写真図表有	-0.2	5	3	ネガティブ		苦境:-1.0(名詞) 評価:+0.0(名詞) 定着:+1.0(名詞) 人:+0.0(名詞) 負け:-1.0(名詞)	苦境 経る コメ 評価 定着 負け 福島
コメ	朝日	2022-02-16	2022	福島「デリシャス」、海外発信　あんぽ柿・コメ、米サイトに動画　／岩手県	岩手全県・２地方／写真図表有	0.3333	3	1	ポジティブ		デリシャス:+1.0(用言) 米:+0.0(名詞) 岩手:+0.0(名詞)	福島 デリシャス 海外 発信 ある ぽい コメ サイト 動画 岩手
コメ	朝日	2022-02-16	2022	福島「デリシャス」、海外発信　あんぽ柿・コメ、米サイトに動画　／青森県	青森全県・２地方／写真図表有／岩手版と同一記事	0.5	2	1	ポジティブ		デリシャス:+1.0(用言) 米:+0.0(名詞)	福島 デリシャス 海外 発信 ある ぽい コメ サイト 動画 青森
コメ	朝日	2022-02-09	2022	県や農家、歓迎の声　台湾、県産食品の輸入規制緩和　コメ流通拡大を期待　／福島県	福島全県・１地方	0.3333	6	2	ポジティブ		歓迎:+1.0(名詞) 台湾:+0.0(名詞) 規制:+0.0(名詞) 緩和:+0.0(名詞) 拡大:+0.0(名詞) 期待:+1.0(名詞)	農家 歓迎 台湾 食品 輸入 規制 緩和 コメ 流通 拡大 期待 福島
コメ	朝日	2022-02-09	2022	あんぽ柿やコメの魅力、海外に発信　県がＰＲ動画　／福島県	福島全県・１地方／写真図表有	0.5	2	1	ポジティブ		魅力:+1.0(名詞) ＰＲ:+0.0(名詞)	ある ぽい コメ 魅力 海外 発信 ＰＲ 動画 福島
コメ	朝日	2022-02-01	2022	苦境のコメ、輸出に活路　風評被害とコロナ禍　ＪＡ福島さくら、６０トン目標／福島県	福島全県・１地方／写真図表有	-0.4167	6	6	ネガティブ		苦境:-1.0(名詞) 輸出:+0.4(補助) 風評:-0.9(補助) 被害:-1.0(名詞) 禍:-1.0(名詞) 目標:+1.0(名詞)	苦境 コメ 輸出 活路 風評 被害 コロナ ＪＡ 福島 さくら トン 目標 福島
コメ	朝日	2022-01-10	2022	福島・会津のコメが震災後初、米へ輸出　／宮城県	宮城全県・１地方／写真図表有	-0.2	3	2	ネガティブ		震災:-1.0(名詞) 米:+0.0(名詞) 輸出:+0.4(補助)	福島 会津 コメ 震災 輸出 宮城
コメ	朝日	2021-12-03	2021	思いコメて、飯べらに焼き印　会津若松　／福島県	福島全県・１地方／写真図表有／「コメて」は動詞・ノイズ	0.0	0	0	判定不能	要確認		思い コメ べら 焼き印 会津若松 福島
コメ	朝日	2021-10-24	2021	（２０２１衆院選　選挙区を歩く：４）コメどころ＠柳津　「もはや大規模農業はリスク」／福島県	福島全県・１地方／写真図表有／連載	0.0	2	2	中立		規模:+1.0(名詞) リスク:-1.0(名詞)	衆院 選挙 歩く コメ どころ 柳津 もはや 規模 農業 リスク 福島
コメ	朝日	2021-03-17	2021	《朝日新聞デジタル》（帰りなんいざ　福島へ：８）故郷のコメ、なぜ食べるのか？唯一無二の「絆」確かめる	デジ専／連載	1.0	1	1	ポジティブ		絆:+1.0(名詞)	朝日新聞 デジタル 帰る なる いざ 福島 故郷 コメ なぜ 食べる 唯一 無二 確かめる
コメ	朝日	2020-12-05	2020	コメ作付け削減、地域に目安説明　推進会議が協力求める　／福島県	福島全県・２地方	0.25	4	1	ポジティブ		作付け:+0.0(補助) 説明:+0.0(名詞) 推進:+0.0(名詞) 協力:+1.0(名詞)	コメ 作付け 削減 地域 目安 説明 推進 会議 協力 求める 福島
コメ	朝日	2020-06-06	2020	生活困る学生にコメを贈り支援　ＪＡ福島さくら　／福島県	福島全県・１地方／写真図表有	0.3333	3	3	ポジティブ		困る:-1.0(用言) 贈る:+1.0(用言) 支援:+1.0(名詞)	生活 困る 学生 コメ 贈る 支援 ＪＡ 福島 さくら 福島
コメ	朝日	2020-05-22	2020	（＃コロナに負けるな！）苦境の学生に力を　帰省自粛にコメなど・いわき出身者にふるさとの味／福島県	福島全県・１地方／写真図表有／連載	-0.1667	6	5	ネガティブ		負ける:-1.0(用言) 苦境:-1.0(名詞) 力:+1.0(名詞) 自粛:-1.0(名詞) ふるさと:+0.0(名詞) 味:+1.0(名詞)	コロナ 負ける 苦境 学生 帰省 自粛 コメ いわき 出身 ふるさと 福島
コメ	朝日	2020-04-25	2020	バイト減の学生へ、エールのコメ１トン　ＪＡ、福島大に贈呈　／福島県	福島全県・１地方／写真図表有	1.0	1	1	ポジティブ		エール:+1.0(名詞)	バイト 学生 エール コメ トン ＪＡ 福島大 贈呈 福島
コメ	朝日	2020-01-15	2020	桃田選手負傷、「早期回復願う」　知事がコメント　／福島県	福島全県・１地方／ノイズ（コメント）	0.0	3	2	中立	要確認	負傷:-1.0(名詞) 早期:+0.0(名詞) 回復:+1.0(名詞)	桃田 選手 負傷 早期 回復 願う 知事 コメント 福島
コメ	朝日	2019-12-02	2019	地元海産物・コメ、「フラ焼き」に込め　いわき海星高生が考案　／福島県	福島全県・１地方／写真図表有	0.0	0	0	判定不能			地元 海産物 コメ フラ 焼き 込める いわき 海星 考案 福島
コメ	朝日	2019-04-05	2019	日本酒ＰＲ動画に中傷コメント　「放射性物質が含まれている」など十数件　／福島県	福島全県・１地方／写真図表有／ノイズ（コメント）だが内容は風評関連	-0.25	4	1	ネガティブ	要確認	ＰＲ:+0.0(名詞) 中傷:-1.0(名詞) 性:+0.0(名詞) 物質:+0.0(名詞)	日本 ＰＲ 動画 中傷 コメント 放射 物質 含む れる いる 福島
コメ	朝日	2019-02-05	2019	コメ全量全袋検査、消費者４６％「必要」　消費者団体「抽出への懸念も」　／福島県	福島中会・１地方	-0.2	5	1	ネガティブ		検査:+0.0(名詞) 消費:+0.0(名詞) 必要:+0.0(名詞) 消費:+0.0(名詞) 懸念:-1.0(名詞)	コメ 全量 検査 消費 必要 消費 団体 抽出 懸念 福島
コメ	朝日	2018-10-16	2018	丹精コメた厳選米、５キロ３５００円で販売　会津農書を継承、２６日から　／福島県	福島中会・１地方／写真図表有／ノイズ（込めた）	0.0	4	0	判定不能	要確認	厳選:+0.0(名詞) 米:+0.0(名詞) 販売:+0.0(名詞) 継承:+0.0(名詞)	丹精 コメ 厳選 キロ 販売 会津 継承 福島
コメ	朝日	2018-06-27	2018	商業施設開業、楢葉に活気再び　「ここなら笑店街」コメリなど１０店舗　／福島県	福島中会・１地方／写真図表有／ノイズ（コメリ）	0.25	4	1	ポジティブ	要確認	開業:+0.0(名詞) 活気:+1.0(名詞) ここ:+0.0(名詞) 笑:+0.0(名詞)	商業 施設 開業 楢葉 活気 再び ここ コメリ 店舗 福島
コメ	朝日	2018-05-10	2018	福島、広田組が移籍にコメント　バドミントン	スポーツ１／ノイズ（コメント・バドミントン）	0.0	0	0	判定不能	要確認		福島 広田 移籍 コメント バドミントン
コメ	朝日	2018-03-29	2018	福島産コメ・牛肉、価格戻らず　２０品目、震災前と比較　農水省	５総合（全国面）	-0.6667	3	2	ネガティブ		価格:-1.0(名詞) 品目:+0.0(名詞) 震災:-1.0(名詞)	福島 コメ 牛肉 価格 戻る 品目 震災 比較 農水省
コメ	朝日	2018-03-03	2018	コメ抽出検査化、福島県正式発表　早ければ２０２０年産から	５総合（全国面）	0.0	1	0	判定不能		検査:+0.0(名詞)	コメ 抽出 検査 福島 正式 発表 早い 年産
コメ	朝日	2018-02-14	2018	特産食材で焼酎造り　福島はコメ、青森では長芋…　地元農家の振興も期待／東北・共通	宮城全県・２地方／写真図表有	0.6667	3	2	ポジティブ		特産:+0.0(名詞) 振興:+1.0(名詞) 期待:+1.0(名詞)	特産 食材 焼酎 造り 福島 コメ 青森 長芋 地元 農家 振興 期待 東北 共通
コメ	朝日	2018-01-27	2018	ＪＡ「検査法決定が先」　コメ全袋検査、県素案に異論　／福島県	福島中会・１地方	-0.25	4	1	ネガティブ		検査:+0.0(名詞) 決定:+0.0(名詞) 検査:+0.0(名詞) 異論:-1.0(名詞)	ＪＡ 検査 決定 コメ 検査 素案 異論 福島
コメ	朝日	2018-01-19	2018	コメの検査「抽出」に　全量全袋から移行　県素案　／福島県	福島中会・１地方	0.0	1	0	判定不能		検査:+0.0(名詞)	コメ 検査 抽出 全量 移行 素案 福島
コメ	朝日	2017-12-02	2017	ＥＵ、輸入規制緩和　福島産コメ・周辺の水産物　９カ国・地域は停止継続	５総合（全国面）	0.0	3	0	判定不能		規制:+0.0(名詞) 緩和:+0.0(名詞) 停止:+0.0(名詞)	ＥＵ 輸入 規制 緩和 福島 コメ 周辺 水産物 カ国 地域 停止 継続
コメ	朝日	2017-10-06	2017	福島と沖縄のリアル、コメディーで　右京で１４日、ミュージカル公演　／京都府	京都市内・１地方／写真図表有／ノイズ（コメディー）	1.0	1	1	ポジティブ	要確認	リアル:+1.0(名詞)	福島 沖縄 リアル コメディー 右京 ミュージカル 公演 京都
コメ	朝日	2017-09-27	2017	ＥＵ、年内にも解除　福島産コメの輸入規制	５総合（全国面）	0.25	2	1	ポジティブ		解除:+0.5(補助) 規制:+0.0(名詞)	ＥＵ 年内 解除 福島 コメ 輸入 規制
コメ	朝日	2017-07-28	2017	全量全袋検査、見直し議論　コメ、１８年産以降について　県検討会　／福島県	福島中会・１地方	0.0	3	0	判定不能		検査:+0.0(名詞) 議論:+0.0(名詞) 検討:+0.0(名詞)	全量 検査 見直し 議論 コメ 年産 以降 検討 福島
コメ	朝日	2017-02-07	2017	コメの全量全袋検査、「今後も必要」７割超　県内消費者への調査結果　／福島県	福島中会・１地方	0.0	3	0	判定不能		検査:+0.0(名詞) 必要:+0.0(名詞) 消費:+0.0(名詞)	コメ 全量 検査 今後 必要 県内 消費 調査 結果 福島
コメ	朝日	2017-01-31	2017	食品の放射性物質検査、コメなどで新指針案　国、取りやめに向け基準　／福島県	福島中会・１地方	0.0	4	0	判定不能		性:+0.0(名詞) 物質:+0.0(名詞) 検査:+0.0(名詞) 基準:+0.0(名詞)	食品 放射 物質 検査 コメ 指針案 取りやめ 向ける 基準 福島
コメ	朝日	2016-10-06	2016	楢葉町産のコメ出荷へ　放射性物質、すべて基準下回る　／福島県	福島中会・１地方／写真図表有	0.0	3	0	判定不能		性:+0.0(名詞) 物質:+0.0(名詞) 基準:+0.0(名詞)	楢葉 コメ 出荷 放射 物質 すべて 基準 下回る 福島
コメ	朝日	2016-05-16	2016	コメ実証栽培へ、手作業で田植え 浪江の住民と学生ら ／福島県	福島中会・１地方／写真図表有	0.0	1	0	判定不能		実証:+0.0(名詞)	コメ 実証 栽培 手作業 田植え 浪江 住民 学生 福島
コメ	朝日	2015-10-22	2015	コメ全量検査、継続に「意味」 森山農水相が視察 ／福島県	福島中会・１地方	0.25	4	1	ポジティブ		検査:+0.0(名詞) 意味:+1.0(名詞) 農水:+0.0(名詞) 相:+0.0(名詞)	コメ 全量 検査 継続 意味 森山 農水 視察 福島
コメ	朝日	2015-10-16	2015	ふるさと納税、うれしい悲鳴 湯川村、特典のコメ評判 ３億７０００万円に ／福島県	福島中会・１地方／写真図表有	0.25	4	3	ポジティブ		ふるさと:+0.0(名詞) 悲鳴:-1.0(名詞) 特典:+1.0(名詞) 評判:+1.0(名詞)	ふるさと 納税 うれしい 悲鳴 湯川 特典 コメ 評判 福島
コメ	朝日	2015-10-14	2015	福大生、復興へ現場主義 コメ出品へ稲刈り・仮設で聞き取り ／福島県	福島中会・１地方／写真図表有	0.3333	3	1	ポジティブ		福:+1.0(名詞) 復興:+0.0(名詞) 稲刈り:+0.0(名詞)	大生 復興 現場 主義 コメ 出品 稲刈り 仮設 聞き取る 福島
コメ	朝日	2015-10-07	2015	「農業復興、足かせ必至」 意欲低下、コメ農家ら危機感 ＴＰＰ合意 ／福島県	福島中会・１地方／写真図表有	-0.2	5	3	ネガティブ		復興:+0.0(名詞) 必至:+0.0(名詞) 意欲:+1.0(名詞) 低下:-1.0(名詞) 危機:-1.0(名詞)	農業 復興 足かせ 必至 意欲 低下 コメ 農家 危機 ＴＰＰ 合意 福島
コメ	朝日	2015-09-19	2015	規制委「無関係」、東大教授が批判 がれき処理とコメ汚染 ／福島県	福島全県・２地方	-0.5	4	2	ネガティブ		規制:+0.0(名詞) 教授:+0.0(名詞) 批判:-1.0(名詞) 汚染:-1.0(名詞)	規制 無関係 東大 教授 批判 れき 処理 コメ 汚染 福島
コメ	朝日	2015-09-09	2015	コメ検査経費、町職員が着服か 古殿、計１７５万円 ／福島県	福島中会・１地方	-0.6333	3	2	ネガティブ		検査:+0.0(名詞) 経費:-1.0(名詞) 着服:-0.9(補助)	コメ 検査 経費 職員 着服 古殿 福島
コメ	朝日	2015-06-28	2015	コメ全量全袋検査に話題集中 有機農業学会、福島でフォーラム ／福島県	福島中会・１地方	0.3333	3	1	ポジティブ		検査:+0.0(名詞) 話題:+1.0(名詞) 集中:+0.0(名詞)	コメ 全量 検査 話題 集中 有機 農業 学会 福島 フォーラム 福島
コメ	朝日	2015-03-28	2015	コメ検査８６６袋分、４ＪＡ不正認証 農政局が改善命令 ／福島県	福島中会・１地方	0.22	5	3	ポジティブ		検査:+0.0(名詞) 不正:-0.9(補助) 認証:+1.0(名詞) 農政:+0.0(名詞) 改善:+1.0(名詞)	コメ 検査 ＪＡ 不正 認証 農政 改善 命令 福島
コメ	朝日	2015-03-27	2015	栃木・福島の入札価格、全農県本部が漏らす コメ施設談合	３社会（全国面）	-0.9667	3	3	ネガティブ		価格:-1.0(名詞) 漏らす:-1.0(用言) 談合:-0.9(補助)	栃木 福島 入札 価格 全農 本部 漏らす コメ 施設 談合
コメ	朝日	2015-02-28	2015	コメ出荷、今秋可能に 葛尾村 ／福島県	福島全県・２地方	0.0	1	0	判定不能		可能:+0.0(名詞)	コメ 出荷 今秋 可能 葛尾 福島
コメ	朝日	2014-12-26	2014	来年度以降のコメ作り説明 食用米以外も生産拡大 ／福島県	福島中会・１地方	0.2	5	1	ポジティブ		作り:+1.0(名詞) 説明:+0.0(名詞) 米:+0.0(名詞) 生産:+0.0(名詞) 拡大:+0.0(名詞)	来年度 以降 コメ 作り 説明 食用 以外 生産 拡大 福島
コメ	朝日	2014-12-03	2014	「復興に追い風」知事らコメント 常磐道開通の首相発言 ／福島県	福島中会・１地方／ノイズ（コメント）	0.0	1	0	判定不能	要確認	復興:+0.0(名詞)	復興 追い風 知事 コメント 常磐 開通 首相 発言 福島
コメ	朝日	2014-12-02	2014	コメの放射性物質汚染 土壌や用水由来、農水省は否定的 ／福島県	福島中会・１地方	-0.2	5	1	ネガティブ		性:+0.0(名詞) 物質:+0.0(名詞) 汚染:-1.0(名詞) 用水:+0.0(名詞) 否定:+0.0(名詞)	コメ 放射 物質 汚染 土壌 用水 由来 農水省 否定 福島
コメ	朝日	2014-11-27	2014	コメ汚染「がれき撤去原因」、規制委が否定的な見解 福島第一	５総合（全国面）	-0.5	4	2	ネガティブ		汚染:-1.0(名詞) 原因:-1.0(名詞) 規制:+0.0(名詞) 否定:+0.0(名詞)	コメ 汚染 がれき 撤去 原因 規制 否定 見解 福島
コメ	朝日	2014-11-23	2014	がれき処理影響、市長が再度見解 南相馬のコメ汚染 ／福島県	福島中会・１地方	-0.5	2	1	ネガティブ		影響:+0.0(名詞) 汚染:-1.0(名詞)	がれき 処理 影響 市長 再度 見解 相馬 コメ 汚染 福島
コメ	朝日	2014-10-10	2014	いわき産のコメ、給食使用に反対 母親ら市教委に署名 ／福島県	福島中会・１地方	-0.5	2	1	ネガティブ		反対:-1.0(名詞) 署名:+0.0(名詞)	いわき コメ 給食 使用 反対 母親 教委 署名 福島
コメ	朝日	2014-09-29	2014	４年ぶり、コメ収穫の喜び 川内村 ／福島県	福島中会・１地方／写真図表有	1.0	2	2	ポジティブ		収穫:+1.0(名詞) 喜び:+1.0(名詞)	ぶり コメ 収穫 喜び 川内 福島
コメ	朝日	2014-09-27	2014	いわきのコメ、給食に 市教委、「安全確保」１２月から ／福島県	福島中会・１地方	1.0	2	2	ポジティブ		安全:+1.0(名詞) 確保:+1.0(名詞)	いわき コメ 給食 教委 安全 確保 １２月 福島
コメ	朝日	2014-08-19	2014	福島産のコメ、輸出を再開へ 震災後初、シンガポールで販売	３社会（全国面）	-0.025	4	3	中立		輸出:+0.4(補助) 再開:+0.5(補助) 震災:-1.0(名詞) 販売:+0.0(名詞)	福島 コメ 輸出 再開 震災 シンガポール 販売
コメ	朝日	2014-07-14	2014	福島第一がれき撤去、２０キロ先汚染 昨夏、コメにセシウム	１総合（全国面・１面）／写真図表有	-0.95	2	2	ネガティブ		汚染:-1.0(名詞) セシウム:-0.9(補助)	福島 がれき 撤去 キロ 汚染 昨夏 コメ セシウム
コメ	朝日	2014-05-16	2014	集団的自衛権「十分議論を」 知事がコメント ／福島県	福島中会・１地方／ノイズ（コメント）	0.3333	3	1	ポジティブ	要確認	自衛:+0.0(名詞) 十分:+1.0(名詞) 議論:+0.0(名詞)	集団 自衛 十分 議論 知事 コメント 福島
コメ	朝日	2014-03-08	2014	（東日本大震災３年 ふくしま）コメ作り、制限緩和 帰還困難区域以外可能に／福島県	福島中会・１地方／写真図表有／連載	-0.1667	6	3	ネガティブ		大震災:-1.0(名詞) 作り:+1.0(名詞) 制限:+0.0(名詞) 緩和:+0.0(名詞) 困難:-1.0(名詞) 可能:+0.0(名詞)	東日本 大震災 ふく しま コメ 作り 制限 緩和 帰還 困難 区域 以外 可能 福島
コメ	朝日	2013-12-11	2013	川内村のコメ、全て基準値以下 全袋検査終了 ／福島県	福島中会・１地方	0.0	2	0	判定不能		基準:+0.0(名詞) 検査:+0.0(名詞)	川内 コメ 全て 基準 以下 検査 終了 福島
コメ	朝日	2013-11-12	2013	旧福島市のコメ、基準超のセシウム ／福島県	福島中会・１地方	-0.45	2	1	ネガティブ		基準:+0.0(名詞) セシウム:-0.9(補助)	福島 コメ 基準 セシウム 福島
コメ	朝日	2013-10-09	2013	コメ２袋で基準超えセシウム 南相馬・旧太田村 ／福島県	福島中会・１地方	-0.45	2	1	ネガティブ		基準:+0.0(名詞) セシウム:-0.9(補助)	コメ 基準 超える セシウム 相馬 太田 福島
コメ	朝日	2013-10-03	2013	３年ぶり出荷待つ 川内でコメ全袋検査始まる ／福島県	福島中会・１地方／写真図表有	0.0	1	0	判定不能		検査:+0.0(名詞)	ぶり 出荷 待つ 川内 コメ 検査 始まる 福島
コメ	朝日	2013-10-02	2013	吉野家、県内で野菜とコメ 白河に農業生産法人設立 ／福島県	福島全県・２地方	0.0	1	0	判定不能		生産:+0.0(名詞)	吉野家 県内 野菜 コメ 白河 農業 生産 法人 設立 福島
